Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_10,Area_10_ha,Area_10_km2,Count_20,Percentage_20,Area_20_ha,Area_20_km2,Count_30,Percentage_30,Area_30_ha,Area_30_km2,Count_40,Percentage_40,Area_40_ha,Area_40_km2,Count_50,Percentage_50,Area_50_ha,Area_50_km2,Count_60,Percentage_60,Area_60_ha,Area_60_km2,Count_70,Percentage_70,Area_70_ha,Area_70_km2,Count_80,Percentage_80,Area_80_ha,Area_80_km2,Count_90,Percentage_90,Area_90_ha,Area_90_km2,Count_95,Percentage_95,Area_95_ha,Area_95_km2,Count_100,Percentage_100,Area_100_ha,Area_100_km2
Danau Matano,Taman Wisata Alam,232.183108261357,Federal or national ministry or agency,,2718727,827599,3564.42,8275.99,82.7599,0,0.0,0.0,0.0,10902,46.95,109.02,1.0902,581,2.5,5.81,0.0581,274,1.18,2.74,0.0274,280,1.21,2.8,0.028,0,0.0,0.0,0.0,1879076,8093.08,18790.76,187.9076,15,0.06,0.15,0.0015,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Danau Towuti,Taman Wisata Alam,621.413256086037,Federal or national ministry or agency,,7278021,743796,1196.94,7437.96,74.3796,0,0.0,0.0,0.0,19944,32.09,199.44,1.9944,836,1.35,8.36,0.0836,60,0.1,0.6,0.006,1272,2.05,12.72,0.1272,0,0.0,0.0,0.0,6511757,10478.95,65117.57,651.1757,356,0.57,3.56,0.0356,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rompi,Taman Wisata Alam,0.751959442264531,Federal or national ministry or agency,,8860,7700,10239.91,77.0,0.77,0,0.0,0.0,0.0,148,196.82,1.48,0.0148,625,831.16,6.25,0.0625,262,348.42,2.62,0.0262,125,166.23,1.25,0.0125,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bontobahari,Taman Hutan Raya,34.8220036158509,Sub-national ministry or agency,,409258,335839,9644.45,3358.39,33.5839,133,3.82,1.33,0.0133,72403,2079.23,724.03,7.2403,352,10.11,3.52,0.0352,70,2.01,0.7,0.007,20,0.57,0.2,0.002,0,0.0,0.0,0.0,441,12.66,4.41,0.0441,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Komara,Taman Buru,27.0169575816542,Federal or national ministry or agency,,317404,314649,11646.35,3146.49,31.4649,0,0.0,0.0,0.0,2542,94.09,25.42,0.2542,213,7.88,2.13,0.0213,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Take Bone Rate,Taman Nasional,5595.86841782762,Federal or national ministry or agency,,65890263,3047,0.54,30.47,0.3047,74,0.01,0.74,0.0074,24645,4.4,246.45,2.4645,0,0.0,0.0,0.0,4626,0.83,46.26,0.4626,5013,0.9,50.13,0.5013,0,0.0,0.0,0.0,65852771,11768.11,658527.71,6585.2771,87,0.02,0.87,0.0087,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Nantu,Suaka Margasatwa,516.981153113905,Federal or national ministry or agency,,6048679,6015248,11635.33,60152.48,601.5248,0,0.0,0.0,0.0,29256,56.59,292.56,2.9256,3808,7.37,38.08,0.3808,10,0.02,0.1,0.001,327,0.63,3.27,0.0327,0,0.0,0.0,0.0,30,0.06,0.3,0.003,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lamedae,Cagar Alam,6.40228635480541,Federal or national ministry or agency,,75113,75073,11725.97,750.73,7.5073,0,0.0,0.0,0.0,18,2.81,0.18,0.0018,0,0.0,0.0,0.0,22,3.44,0.22,0.0022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Tanjung Amolengo,Suaka Margasatwa,6.19994193374804,Federal or national ministry or agency,,72738,36855,5944.41,368.55,3.6855,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,271,43.71,2.71,0.0271,0,0.0,0.0,0.0,35612,5743.92,356.12,3.5612,0,0.0,0.0,0.0
Tirta Rimba Air Jatuh,Taman Wisata Alam,4.89929692445948,Federal or national ministry or agency,,57573,57045,11643.51,570.45,5.7045,0,0.0,0.0,0.0,433,88.38,4.33,0.0433,0,0.0,0.0,0.0,95,19.39,0.95,0.0095,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Buton Utara,Suaka Margasatwa,912.149051870201,Federal or national ministry or agency,,6765734,6755390,7406.02,67553.9,675.539,0,0.0,0.0,0.0,9855,10.8,98.55,0.9855,201,0.22,2.01,0.0201,177,0.19,1.77,0.0177,111,0.12,1.11,0.0111,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lambusango,Suaka Margasatwa,276.043146701461,Federal or national ministry or agency,,3242786,3228719,11696.43,32287.19,322.8719,0,0.0,0.0,0.0,11940,43.25,119.4,1.194,137,0.5,1.37,0.0137,14,0.05,0.14,0.0014,1976,7.16,19.76,0.1976,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Teluk Lasolo,Taman Wisata Alam,727.024702510376,Federal or national ministry or agency,,8521451,1353,1.86,13.53,0.1353,0,0.0,0.0,0.0,151,0.21,1.51,0.0151,0,0.0,0.0,0.0,16,0.02,0.16,0.0016,355,0.49,3.55,0.0355,0,0.0,0.0,0.0,8519196,11717.89,85191.96,851.9196,221,0.3,2.21,0.0221,159,0.22,1.59,0.0159,0,0.0,0.0,0.0
